"id","cond","th","outl","group"
1042,1,2.87289687640281,0,1
1042,2,-9.96803256572747,1,1
1042,3,71.781056125,0,1
1042,4,0.62501147425305,1,1
1043,1,1.25413662647205,0,1
1043,2,-8.23876333426384,0,1
1043,3,31.3887941333333,0,1
1043,4,-2.1661355192429,0,1
1044,1,1.83566215349193,0,1
1044,2,-15.2256895992108,1,1
1044,3,52.8797466680952,0,1
1044,4,-0.741495067835496,0,1
1045,1,3.25821989078298,0,1
1045,2,-10.9144372991477,0,1
1045,3,11.2807688541667,1,1
1045,4,-1.40593550150049,0,1
1046,1,3.05274643911293,1,1
1046,2,-7.74712050151137,0,1
1046,3,54.0131250138889,1,1
1046,4,-1.27788513557965,0,1
1047,1,2.18499807188557,0,1
1047,2,-14.5053315944171,0,1
1047,3,18.0021382419048,0,1
1047,4,-5.01126516960504,0,1
1048,1,1.93022355919841,0,1
1048,2,-15.5780095697488,0,1
1048,3,4.88427317857143,1,1
1048,4,-2.68457945118877,1,1
2001,1,1.31488160264709,1,2
2001,2,-17.4799402920202,0,2
2001,3,64.69213162,0,2
2001,4,-2.19146836848965,0,2
2002,1,1.11963319862748,0,2
2002,2,-10.6047298019725,0,2
2002,3,16.2106961416667,1,2
2002,4,-4.57804472565329,0,2
2003,1,2.38732406685186,0,2
2003,2,-11.5270467441083,0,2
2003,3,144.095260324964,0,2
2003,4,-2.34958151536384,0,2
2050,1,2.8516395032303,0,2
2050,2,-9.87938542488708,0,2
2050,3,16.6134085603175,0,2
2050,4,-0.227816243405077,0,2
2051,1,1.6243335745219,0,2
2051,2,-12.8354487752913,0,2
2051,3,24.7940791559524,0,2
2051,4,-1.7846444367462,0,2
2052,1,1.96928014418534,0,2
2052,2,-12.5920280720316,0,2
2052,3,142.388465325,0,2
2052,4,-2.0028381793851,0,2
2053,1,1.46834685256683,0,2
2053,2,-13.8446941656208,0,2
2053,3,35.9367017785714,0,2
2053,4,-2.63572124137038,0,2
2054,1,1.13529239754583,1,2
2054,2,-12.379893571258,0,2
2054,3,34.4745647886869,0,2
2054,4,3.23418003081804,1,2
2055,1,1.17906592384702,1,2
2055,2,-12.4743584342538,0,2
2055,3,27.8397829409524,0,2
2055,4,-5.54051149773238,0,2
2056,1,2.02331628613562,0,2
2056,2,-12.4975410452303,0,2
2056,3,6.00683749891775,1,2
2056,4,-0.523335832877231,0,2
2057,1,1.73933396327485,0,2
2057,2,-6.63344232307675,1,2
2057,3,60.4442792967949,0,2
2057,4,-4.66585286777373,0,2
2058,1,1.29766895277575,0,2
2058,2,-17.0915042890483,0,2
2058,3,34.5427515761905,0,2
2058,4,-4.93701489962596,0,2
2059,1,1.56067014810909,0,2
2059,2,-9.96521377295111,0,2
2059,3,127.17874192381,0,2
2059,4,-1.07404977875504,0,2
2060,1,1.32694480729439,2,2
2060,2,-7.32408203181665,0,2
2060,3,60.7948294063736,0,2
2060,4,-3.04930474265487,0,2
2061,1,1.83374778210333,0,2
2061,2,-8.76038388470472,0,2
2061,3,43.255177512482,0,2
2061,4,-3.99965966151592,0,2
2062,1,2.12798642298742,0,2
2062,2,-16.6360235670085,0,2
2062,3,38.57961644,0,2
2062,4,-1.5459218756184,0,2
2063,1,3.27028510157495,0,2
2063,2,-1.49840443518114,1,2
2063,3,156.540384752222,0,2
2063,4,1.33818500398173,0,2
2064,1,2.02359946128819,0,2
2064,2,-6.38661039559865,0,2
2064,3,181.703891318182,0,2
2064,4,4.22394496198374,1,2
2065,1,1.35412300168473,0,2
2065,2,-2.11621881862637,0,2
2065,3,59.28878287,0,2
2065,4,0.605411569073525,0,2
2067,1,2.54825093338927,0,2
2067,2,-6.09766231271316,1,2
2067,3,172.048614447857,0,2
2067,4,-1.10264744702226,0,2
2070,1,1.66552276417523,0,2
2070,2,-12.0200746702211,0,2
2070,3,38.6566083883929,1,2
2070,4,0.527018643954445,0,2
2071,1,2.50376192629373,0,2
2071,2,-3.60945865949429,0,2
2071,3,204.189372142857,0,2
2071,4,-0.319306472255762,0,2
6001,1,1.22834803117312,0,3
6001,2,-21.9461224055242,0,3
6001,3,11.8185044642857,1,3
6001,4,-3.08441238248071,0,3
